id_inicio,player_name,team,minute,second,tipo_inicio,num_eventos,progressao_x,duracao_s,terminou_chute,xg_final,sucesso,dist_gol_defensor_proximo,dist_gol_atacante_avancado,diferencial_profundidade,num_defensores_entre_bola_gol,largura_linha_defensiva,dist_bola_gol,superioridade_terco_ofensivo,match_id,atac_fm_nome,atac_fm_sim,atac_match_ok,pace_atacante,acceleration_atacante,stamina_atacante,pace_defensor,acceleration_defensor,diferencial_pace,diferencial_acceleration
020f02c0-eabb-425f-b251-cec1644c8d57,Alphonso Davies,Canada,13,55,Pass,18,103.9,12.0,True,0.27914461,True,95.40216063432514,96.99965541992258,-2.7868312616239095,3.0,16.01633546184474,108.0615565314511,0.0,3857276,Alphonso Davies,1.0,True,19.0,19.0,16.0,14.0,14.25,5.0,4.75
7dace1ef-5a84-4683-a8d8-1244ea3fab77,Mehdi Torabi,Iran,76,15,Pass,8,67.0,5.0,True,0.06202265,False,56.969531646389875,52.561598774546894,3.5494251732768305,3.0,44.40322850783667,67.00604450346252,0.0,3857271,Mehdi Torabi,1.0,True,14.0,14.0,14.0,14.0,13.0,0.0,1.0
54e65e59-2683-49d3-9756-3935b016dafb,Timothy Castagne,Belgium,8,12,Pass,6,19.1,3.0,False,0.0,False,51.27962376019972,52.7501002373193,-1.1275757531627022,6.0,18.06561038873908,70.91015442092902,0.0,3857296,Timothy Castagne,1.0,True,15.0,15.0,15.0,15.0,13.5,0.0,1.5
cd15385d-9c10-418f-8f07-6783a27a4a5f,Andrej Kramarić,Croatia,9,9,Pass,7,36.0,4.0,False,0.0,False,96.26726144574218,102.98188207327344,-6.815979660543256,5.0,16.299978946634454,112.80447686151467,0.0,3857296,Andrej Kramarić,1.0,True,13.0,14.0,16.0,12.25,11.25,0.75,2.75
90603b2c-649b-4859-973f-7ca53c47781f,Kevin De Bruyne,Belgium,12,47,Pass,10,90.1,9.0,True,0.1934709,True,87.11581239149987,90.23314293370514,-6.992849145035109,3.0,53.344997503218835,90.23314246993728,0.0,3857296,Kevin De Bruyne,1.0,True,14.0,15.0,17.0,15.0,13.5,-1.0,1.5
29aa0f44-c497-4ada-be42-537dd358671d,Luka Modrić,Croatia,47,29,Ball Recovery,11,31.2,5.0,False,0.0,False,85.59652411814385,86.70415987687521,-6.996438689519593,3.0,9.806460295537192,96.43780379083712,0.0,3857296,Luka Modrić,1.0,True,13.0,12.0,13.0,12.25,11.25,0.75,0.75
b194afd4-4dee-4140-9e5d-54e1c4311442,Borna Sosa,Croatia,76,44,Ball Recovery,13,81.4,12.0,False,0.0,False,91.96197407018246,82.77470976320808,13.027607364352065,3.0,19.508213439307397,106.64694088439667,0.0,3857296,Borna Sosa,1.0,True,16.0,14.0,13.0,12.25,11.25,3.75,2.75
6385214b-33f3-413b-b960-fa94f3cc7749,Virgil van Dijk,Netherlands,44,25,Pass,12,66.0,9.0,False,0.0,False,88.46927435185269,82.81285118381123,3.7172348131440884,4.0,11.319666070787122,109.24696792131121,0.0,3857274,Virgil van Dijk,1.0,True,16.0,15.0,14.0,14.4,14.2,1.5999999999999996,0.8000000000000007
9080322c-b7c5-4e60-bdb9-f0c5bc2e7a2e,Virgil van Dijk,Netherlands,45,13,Ball Recovery,8,33.099999999999994,4.0,False,0.0,False,104.29780476239242,100.20260764966507,4.20804168762529,1.0,33.63585304524685,110.70072267153454,0.0,3857274,Virgil van Dijk,1.0,True,16.0,15.0,14.0,14.4,14.2,1.5999999999999996,0.8000000000000007
0dec821d-19a9-4482-99c1-45aebebabba0,Andries Noppert,Netherlands,48,43,Goal Keeper,3,116.8,1.0,True,0.790909,True,,,,,,,,3857274,Andries Noppert,1.0,True,7.0,7.0,12.0,14.4,14.2,-7.4,-7.199999999999999
d00a2356-e1f7-495a-a127-7fd2d31ce121,Kaoru Mitoma,Japan,69,43,Interception,5,84.0,7.0,True,0.13121767,True,70.59332036421213,63.18310151578883,3.8151530626557744,5.0,37.63571562664416,87.41647441987122,0.0,3857255,Kaoru Mitoma,1.0,True,15.0,17.0,12.0,12.0,11.0,3.0,6.0
05918dc0-f014-4aa7-a6aa-70fdd830f53d,Maya Yoshida,Japan,82,49,Pass,6,42.2,2.0,False,0.0,False,82.38412107277323,82.26285919472434,-0.3842625302638112,7.0,22.677982246720745,102.83545108570293,0.0,3857255,Maya Yoshida,1.0,True,12.0,10.0,12.0,12.0,11.0,0.0,-1.0
eae937cf-a884-426d-9366-b1ac3dd139e2,Ko Itakura,Japan,83,27,Pass,18,72.19999999999999,12.0,False,0.0,False,72.54292254846074,77.82277741371676,-7.651390215804014,5.0,30.604897956138956,99.47059867116513,0.0,3857255,Kô Itakura,1.0,True,13.0,12.0,15.0,12.0,11.0,1.0,1.0
d42f39b7-b6fd-4f8b-bd6e-d917aacb70f4,Weston McKennie,United States,37,23,Ball Recovery,10,19.5,6.0,False,0.0,False,41.36732933193259,43.941415446442164,-2.6832457249467296,2.0,22.592130334810022,60.25363059600641,-1.0,3857272,Weston McKennie,1.0,True,14.0,14.0,17.0,14.0,13.0,0.0,1.0
7c0ee957-bfef-4389-9474-4b03b440a448,Christian Pulisic,United States,48,5,Ball Recovery,7,69.69999999999999,10.0,True,0.0422633,False,79.4110613680121,79.99029352587158,-0.8313964801172631,2.0,26.28098346997692,85.70630081855126,0.0,3857272,Christian Pulisic,1.0,True,15.0,17.0,14.0,14.0,13.0,1.0,4.0
271b1600-bfb5-4297-a82e-6308acf02088,Jack Grealish,England,91,33,Interception,6,27.10000000000001,6.0,False,0.0,False,43.153734226236494,47.6855513512058,-3.7474675370112465,3.0,36.383987637632245,57.29232060232855,0.0,3857272,Jack Grealish,1.0,True,15.0,15.0,14.0,13.75,13.25,1.25,1.75
