id_inicio,player_name,team,minute,second,tipo_inicio,num_eventos,progressao_x,duracao_s,terminou_chute,xg_final,sucesso,dist_gol_defensor_proximo,dist_gol_atacante_avancado,diferencial_profundidade,num_defensores_entre_bola_gol,largura_linha_defensiva,dist_bola_gol,superioridade_terco_ofensivo,competicao,fm_edicao,match_id,atac_fm_nome,atac_fm_sim,atac_match_ok,pace_atacante,acceleration_atacante,stamina_atacante,pace_defensor,acceleration_defensor,diferencial_pace,diferencial_acceleration
63eedb9f-7f1c-485a-8c06-d96bef615077,José María Giménez de Vargas,Uruguay,12,39,Pass,10,62.199999999999996,7.0,False,0.0,False,57.899468315247994,58.28956221437975,-0.5936973684272857,5.0,21.419467755914944,79.15112128075003,0.0,World Cup 2022,2023,3857293,Cristian de Vargas,0.609,True,7.0,6.0,6.0,11.75,12.75,-4.75,-6.75
b886a046-e694-4a29-ab83-f61f2726ed93,Mohamed Salisu,Ghana,85,55,Pass,12,70.39999999999999,9.0,False,0.0,False,78.82399641937617,76.1152314946116,1.3076969814438257,5.0,31.001298277268496,96.00041666576244,0.0,World Cup 2022,2023,3857293,Mohammed Salisu,0.966,True,14.0,14.0,15.0,11.25,10.75,2.75,3.25
cce2c8f7-eb46-48d8-9a69-daf1f11bd683,Mohamed Salisu,Ghana,95,46,Interception,9,39.60000000000001,5.0,False,0.0,False,79.75428970087235,74.16579940216053,4.270865786529939,3.0,23.2644273203014,93.04348445753737,0.0,World Cup 2022,2023,3857293,Mohammed Salisu,0.966,True,14.0,14.0,15.0,11.25,10.75,2.75,3.25
6e4f512d-b371-4ed3-a403-a8df4e648aeb,Joško Gvardiol,Croatia,31,28,Pass,12,79.69999999999999,10.0,False,0.0,False,90.1231319686301,84.82963719023607,3.2710628073451673,3.0,26.698569706878338,102.27614580145264,0.0,World Cup 2022,2023,3857281,Joško Gvardiol,1.0,True,17.0,14.0,14.0,12.5,12.0,4.5,2.0
ef7d159d-892d-4ec6-aaa3-c2aa88994055,Milan Borjan,Canada,38,35,Ball Recovery,11,79.7,16.0,False,0.0,False,94.945690142957,100.92441131233093,-6.779879494804845,5.0,26.70251859630484,114.56303941498759,0.0,World Cup 2022,2023,3857281,Milan Borjan,1.0,True,9.0,9.0,10.0,15.0,13.5,-6.0,-4.5
018ed3d7-b249-4f42-8a5a-89f9a2915c86,Borna Sosa,Croatia,46,59,Pass,5,25.799999999999997,2.0,False,0.0,False,25.296917158009162,36.99741267768257,-5.11998634436587,6.0,22.327378316261267,59.29797635670209,2.0,World Cup 2022,2023,3857281,Borna Sosa,1.0,True,16.0,14.0,13.0,12.5,12.0,3.5,2.0
bff29031-422e-4994-8970-56cde91bd9fc,Atiba Hutchinson,Canada,60,55,Interception,13,48.49999999999999,8.0,False,0.0,False,83.91861467915713,91.43917214045922,-9.462652418954441,2.0,8.03299823381694,97.60327863345574,0.0,World Cup 2022,2023,3857281,Atiba Hutchinson,1.0,True,8.0,9.0,12.0,15.0,13.5,-7.0,-4.5
809b3e76-658d-45f1-8edb-4b0ece687044,Dominik Livaković,Croatia,62,48,Ball Recovery,13,115.19999999999999,26.0,False,0.0,False,86.86114219125302,88.95643235074114,-1.048860744335613,7.0,14.569456369572897,117.37981087052407,0.0,World Cup 2022,2023,3857281,Dominik Livaković,1.0,True,10.0,11.0,11.0,12.5,12.0,-2.5,-1.0
75604a24-af03-4da4-a787-7ee572cf7de9,Ederson Santana de Moraes,Brazil,31,29,Ball Recovery,19,89.2,18.0,False,0.0,False,88.00368047780704,83.66857613749919,0.6371968556489094,7.0,18.92328502772044,114.27720682620836,0.0,World Cup 2022,2023,3857280,Anderson Santana,0.683,True,9.0,9.0,12.0,14.25,13.5,-5.25,-4.5
73a94fbc-eefc-49c3-9299-73a14ede2a75,Daniel Alves da Silva,Brazil,65,17,Duel,5,23.60000000000001,4.0,False,0.0,False,45.343111631987945,50.535436173511705,-7.257177460860447,7.0,28.814774370206635,73.62526740189132,0.0,World Cup 2022,2023,3857280,Alves da Silva,0.8,True,10.0,11.0,10.0,14.25,13.5,-4.25,-2.5
ac9ec134-6290-4d18-884d-842314740e1c,Daniel Alves da Silva,Brazil,70,39,Duel,10,28.300000000000004,5.0,False,0.0,False,72.70085012508751,66.45783669615092,1.0869500313002831,6.0,65.46404917628631,87.2390967399365,0.0,World Cup 2022,2023,3857280,Alves da Silva,0.8,True,10.0,11.0,10.0,14.25,13.5,-4.25,-2.5
4b7c8fc1-945d-409a-acb6-a2f22c7bb61b,Gleison Bremer Silva Nascimento,Brazil,80,19,Pass,11,84.1,10.0,False,0.0,False,97.25781834367272,98.31170617344776,-1.169478488921449,8.0,46.195187574233046,110.5797901969433,0.0,World Cup 2022,2023,3857280,Leonardo Nascimento,0.64,True,13.0,14.0,11.0,14.25,13.5,-1.25,0.5
